timestamp,host,level,message,Sentiment,Confidence,Keyword_cluster
2025-01-26 19:00:00,,INFO,Kubernetes pod scaled up successfully. New replicas: 5.,Positive,0.7399508357048035,unknown
2025-01-26 19:04:00,,ERROR,CPU usage is critically high: 37%. Immediate action required.,Neutral,0.33163589239120483,server
2025-01-26 19:06:00,,INFO,User user123@domain.org logged in from IP 192.168.0.222. Login duration: 10 minutes.,Negative,0.44442474842071533,logging
2025-01-26 19:09:00,,ERROR,Docker container failed to start for service Airflow. Error log: Container crashed on startup.,Negative,0.7636434435844421,unknown
2025-01-26 19:16:00,,ERROR,POST request to /api/v1/orders failed. Response code: 500 Internal Server Error. Error details: Missing authentication token.,Negative,0.7131776809692383,api
2025-01-26 19:24:00,,ERROR,Lambda function execution failed in AWS. Error: Invalid parameters provided.,Negative,0.5555519461631775,aws
2025-01-26 19:28:00,,INFO,Lambda function executed successfully in AWS. Execution duration: 250ms.,Positive,0.5993630886077881,aws
2025-01-26 19:31:00,,ERROR,CPU usage is critically high: 56%. Immediate action required.,Neutral,0.310167521238327,server
2025-01-26 19:35:00,,INFO,Phone number 9123456789 was successfully added to the system.,Positive,0.5815088152885437,unknown
2025-01-26 19:43:00,,INFO,Disk usage is 88%. Disk space within acceptable limits.,Negative,0.3756941854953766,server
2025-01-26 19:47:00,,INFO,Lambda function executed successfully in AWS. Execution duration: 250ms.,Positive,0.5993630886077881,aws
2025-01-26 19:48:00,,INFO,Kubernetes pod scaled up successfully. New replicas: 5.,Positive,0.7399508357048035,unknown
2025-01-26 19:54:00,,ERROR,Airflow encountered an issue. Exception: NullPointerException in thread 'main'.,Neutral,0.3167465627193451,unknown
2025-01-26 19:56:00,,INFO,Docker container started successfully for service Kubernetes. Container ID: abcd1234efgh5678.,Positive,0.5086477994918823,unknown
2025-01-26 20:04:00,,ERROR,Failed to consume message from topic 'topic_orders' using Kafka. Error: TimeoutException after 30 seconds.,Negative,0.6855233907699585,kafka
2025-01-26 20:08:00,,INFO,Task 'task_data_validation' in DAG 'dag_model_training' completed successfully in 45 seconds.,Positive,0.49735215306282043,airflow
2025-01-26 20:12:00,,ERROR,Failed to consume message from topic 'topic_events' using Java. Error: TimeoutException after 30 seconds.,Negative,0.6432079672813416,kafka
2025-01-26 21:00:00,,ERROR,Kubernetes pod crash detected. Pod ID: kube_pod12345.,Negative,0.5957058072090149,unknown
2025-01-26 21:06:00,,ERROR,Lambda function execution failed in AWS. Error: Invalid parameters provided.,Negative,0.5555519461631775,aws
2025-01-26 21:13:00,,INFO,User user123@domain.org logged in from IP 192.168.0.106. Login duration: 10 minutes.,Negative,0.44113996624946594,logging
2025-01-26 21:16:00,,ERROR,Disk usage is critically high: 61%. Threshold exceeded on volume /dev/sda1.,Negative,0.4211764633655548,server
2025-01-26 21:21:00,,ERROR,Kubernetes encountered an issue. Exception: NullPointerException in thread 'main'.,Neutral,0.2948133647441864,unknown
2025-01-26 21:23:00,,INFO,Disk usage is 89%. Disk space within acceptable limits.,Negative,0.3699899911880493,server
2025-01-26 21:31:00,,INFO,Disk usage is 36%. Disk space within acceptable limits.,Negative,0.3374961018562317,server
2025-01-26 21:33:00,,INFO,Task 'task_model_training' in DAG 'dag_user_sync' completed successfully in 45 seconds.,Positive,0.49825894832611084,airflow
2025-01-26 21:36:00,,INFO,CPU usage is 88%. Threshold not exceeded. System operating normally.,Neutral,0.3894362449645996,server
2025-01-26 21:41:00,,ERROR,Task 'task_data_validation' in DAG 'dag_data_ingestion' failed after 3 retries. Error: Data validation error in step 2.,Negative,0.5223188400268555,airflow
2025-01-26 21:42:00,,ERROR,Lambda function execution failed in AWS. Error: Invalid parameters provided.,Negative,0.5555519461631775,aws
2025-01-26 21:46:00,,INFO,AWS operation completed successfully. Processed 1500 records in 2.35 seconds.,Positive,0.7193359732627869,unknown
2025-01-26 21:54:00,,ERROR,Phone number 9988776655 could not be added due to a duplicate record conflict in the database.,Negative,0.45775917172431946,database
2025-01-26 22:03:00,,ERROR,Disk usage is critically high: 74%. Threshold exceeded on volume /dev/sda1.,Negative,0.4028315544128418,server
2025-01-26 22:11:00,,ERROR,Disk usage is critically high: 22%. Threshold exceeded on volume /dev/sda1.,Negative,0.4307490587234497,server
2025-01-26 22:16:00,,ERROR,Lambda function execution failed in AWS. Error: Invalid parameters provided.,Negative,0.5555519461631775,aws
2025-01-26 22:21:00,,INFO,Docker container started successfully for service Azure. Container ID: abcd1234efgh5678.,Positive,0.5032200217247009,unknown
2025-01-26 23:00:00,,INFO,Disk usage is 94%. Disk space within acceptable limits.,Negative,0.35629376769065857,server
2025-01-26 23:05:00,,ERROR,Failed to consume message from topic 'topic_transactions' using Docker. Error: TimeoutException after 30 seconds.,Negative,0.6909517049789429,kafka
2025-01-26 23:13:00,,INFO,Kubernetes pod scaled up successfully. New replicas: 5.,Positive,0.7399508357048035,unknown
2025-01-26 23:21:00,,ERROR,Kubernetes pod crash detected. Pod ID: kube_pod12345.,Negative,0.5957058072090149,unknown
2025-01-26 23:29:00,,INFO,Disk usage is 74%. Disk space within acceptable limits.,Negative,0.3471291959285736,server
2025-01-26 23:30:00,,INFO,Lambda function executed successfully in AWS. Execution duration: 250ms.,Positive,0.5993630886077881,aws
2025-01-26 23:37:00,,ERROR,CPU usage is critically high: 44%. Immediate action required.,Neutral,0.31896060705184937,server
2025-01-26 23:46:00,,ERROR,Kubernetes pod crash detected. Pod ID: kube_pod12345.,Negative,0.5957058072090149,unknown
2025-01-26 23:55:00,,INFO,DELETE request to /api/v1/orders succeeded. Response code: 200 OK. Response size: 1.2MB.,Negative,0.3962038457393646,api
